"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_ISFM","x.years","x.discount_rate","x.var_cv","x.maize_yield","x.soybean_yield","x.maize_price","x.soybean_price","x.fertilizer","x.seed","x.pesticide","x.equipements","x.land","x.planting_harvest","x.transport"
"40",31554.1434315917,30108.9381566366,30629.9756270075,28558.2309377927,35189.4928840249,31248.2205201164,31327.5196625766,32964.4381716181,27823.1852036742,31624.0229812908,33959.649529758,34502.1744349641,31224.5904344862,31141.7511802244,31772.1628845524,31040.1225753644,33240.4353853752,33721.6911750736,33462.4181024317,31496.3347727845,36678.542524731,34114.6084782506,30154.9816903258,30988.4856078969,29918.4486840671,470089.991382702,25,5,5.28835737639597,3.67705671679445,3.29555492761162,6406.18051959091,4483.61473113249,412.372654820957,1054.26254322904,201.873758811406,769.023442798705,975.575845485126,1562.94563537605,1306.71456174554
"41",25828.2992696168,27307.6475464107,24546.7673288574,22282.8954056165,23554.0739513753,23486.5700307473,23380.8782917971,20492.2753524393,23192.7458496562,25381.4812077906,26548.5536502092,21431.3517189591,24620.696506616,24309.0793905821,23577.0795479507,23986.8511455754,23567.4907337056,26816.7596279483,25894.144455652,23766.5496937016,26315.6891624459,21277.6574356532,22489.2619084036,27726.5976631924,24829.1585426944,358705.94902727,25,5,7.2852883968366,3.04066511473594,3.1632850968487,6720.58234183323,3248.06986624404,793.260528641881,641.339513069044,153.637120792333,1029.06182279018,874.015675446971,1498.44625957899,1219.10986628095
"42",23603.3290526362,20071.3431531611,20393.7575206683,20910.2621385649,22222.1959951882,20548.5560145639,20100.9579031708,21910.4557335977,19965.6158799619,21900.9104660318,20687.9291616279,22810.8836405021,24782.4613307404,22222.5386876731,22432.958743875,20450.4327751594,22212.6951612942,21223.2252531846,23606.5283166793,22067.48605724,19366.2826100756,21895.3627331271,20410.243543324,22401.7727831242,20322.19728486,318361.398248183,25,5,6.1699065529903,2.23372382752857,2.98973475132194,6725.67178679548,4158.76390266701,696.213399640318,993.309186914343,244.115268558414,753.214422027518,845.941563387636,1537.26961695934,1228.70232683451
"43",23652.4297185321,23041.2561946308,22575.0032276972,20094.452459302,24692.2287727398,21324.0985692917,22957.1435560768,20881.3986137848,25094.7242311624,21677.3743976185,23464.2902139304,23883.1457089365,24486.4213803816,23063.7127303606,21037.4951357728,22188.7466601256,27869.1358061116,26457.8940541412,23499.075708858,21734.0112693494,25690.4738472816,19820.5729565657,20859.6677614521,21773.2435438444,21432.3455317767,339254.487440418,25,5,8.29646457442764,2.68882093083656,3.20446103927382,6576.03348501587,3604.44325959311,833.612893038218,1036.69182424736,228.381079662914,1053.80419836179,847.91899439131,1585.38179685939,1102.25479498529
"44",17222.9587718861,17249.1933603073,17200.4020106869,15368.9777198453,18437.8759656053,19378.0837904214,17116.796511458,18132.0547296461,17740.875418426,17270.0697603143,16277.6648677834,19962.2824846565,20647.4892115831,16074.5755876939,19766.5995531483,21312.3674951925,19388.263945423,16155.4312261433,17920.4624320508,18586.3934669874,18341.9067071756,16120.3533855797,17863.5900513119,16794.2811908686,16495.9751085928,263721.793244083,25,5,8.9060173363393,1.94412471002945,2.72271325309882,6674.5717056591,4213.91710075429,851.451780608935,1469.43282009148,202.483391250544,613.749208201802,937.60301227742,1735.9496354511,559.32257734474
"45",29191.4959190915,27376.7721282935,28665.0479235128,28655.8902053125,23776.389585809,27877.2634250562,25543.8030103632,26923.947101017,26849.418310868,24415.3085120911,25061.5852913648,27437.4242539066,27348.3876028051,23362.991249554,25335.7749044163,23122.2998083944,29035.8434969025,26959.402561638,25020.9160833236,24614.161960342,25815.5686582878,25781.5490434497,29035.1553527529,28609.453951036,25416.5978079438,393799.465447834,25,5,8.4332232655272,3.01674130587476,3.10544062617685,6274.53706615662,4371.0836181693,638.461302837513,772.423384604762,136.237430216318,973.213766712817,890.162200680604,1863.39075363885,472.449286127875
"46",20987.7741551706,22935.7312437926,21236.4846771239,20600.9961873269,20525.0366873955,21687.2255322231,22791.6987073467,22386.182140932,19450.9900437636,22372.343710426,23379.7584059668,22321.1076033742,21138.7547152252,22757.0274842368,21492.3727673414,20966.0341572291,21982.711175928,21832.1999660551,22363.2012561572,21731.4347442915,22625.96043024,21783.24424703,20230.6306309472,22395.2087009361,20905.2972342828,320978.42520875,25,5,3.92733786574508,2.54251208297633,3.26780805626146,6398.23008215269,3587.99261074042,995.07694671381,778.681562736235,217.706096689254,621.821090146139,969.950195720685,1968.14210243737,691.536812337045
"47",30149.3826274807,24358.7044464045,24575.2671266318,26654.3740188038,26096.663998698,25207.5483600393,22868.7868381657,27403.2353336065,26983.2858187953,24559.6387290636,25828.5702894558,23319.6796360049,23476.3822961169,25256.1434266919,25679.6996470755,25289.7416431287,25517.7137727891,26789.0282002255,24855.6587054079,25212.788624005,26180.5188624551,27187.6939699126,23879.7609279383,27187.8898972773,24102.5064259077,379409.002709312,25,5,7.5159558625696,3.1715383534612,3.08155221847774,6372.63911334739,3592.03471320993,664.096365770445,853.848957337316,204.447972942302,722.112079888003,831.789246931945,1601.31795583291,1215.6547001542
"48",28497.5490723705,30085.937816053,25846.0038381631,31087.5981805165,27855.4907624697,23319.679820923,27804.083925023,26565.2041604136,25112.4567350937,29507.6213593369,28487.5324603232,25279.4783486545,26428.2368002715,27713.3997228789,23296.9185379917,22634.5875077035,25765.4075575564,27829.5698861984,26585.4122831268,24373.1874355384,23226.3524253951,30086.2438890514,27623.7462670663,23399.6372150794,23978.2185458084,397305.524046545,25,5,8.49123264337628,2.9079961361886,2.67905712914029,6670.50259632154,4680.23088540209,964.476153446055,53.2654006783367,312.768082492826,762.851328179226,876.741642491978,1454.65873431235,806.658674052621
"49",36941.6744819839,35029.3365568606,41221.3885953614,37416.916500146,39762.6564140619,36364.7226728034,39504.1389738583,40309.300794394,40245.1712698198,42583.7609299229,36861.8968979909,38608.1616045227,40288.963436502,39502.887220571,37262.4771286669,39263.6774999251,37838.0321779893,40724.5671576333,35461.0027974192,39083.7167988026,34762.1344947467,35944.6153504913,39151.6121168518,43779.6285342238,35340.120208941,570230.605824062,25,5,6.97460494068608,4.37711463732985,3.44776177468107,6282.17319100257,4807.7696144994,933.294841814373,565.305288639915,151.227243873703,761.746480657166,946.714966685258,1734.58750995039,1030.58062004951
"50",33210.3868184302,32098.7007725791,31246.8256333324,30627.3523334201,32081.2874832321,30685.3877195774,34868.4594023726,29535.7663522368,33111.6547796757,31829.3396120083,30893.2576556003,30829.0293174795,36064.3004117871,34114.5954692588,28923.9775059954,29102.9409207214,32033.4543296554,28682.1152437989,32586.7173559606,31391.5342874763,31428.8041594102,33823.6684304071,32537.4246351001,31616.6706455462,28105.0653281699,469995.109439573,25,5,7.28264048422501,4.31584025391299,2.8220045903278,6607.89072411464,3463.33322032378,627.17252820953,731.958292346616,214.482798582912,523.850128135687,900.989128135612,1633.42010051397,659.598275464446
"51",25703.8029133595,28884.4988753972,28525.6968389881,29823.9381873129,29052.1079411298,26414.9754377512,29266.8028645498,26838.8852104936,27521.530973407,27634.1144401101,30564.8571531742,32486.1141231415,30882.5628981994,29060.0763168106,29781.0913438348,28232.3774153577,24797.1737490297,28491.0874696678,26820.9768184138,25937.6858577595,27228.3661420147,29256.8803506567,24854.65648654,25815.4719926101,26677.8342651629,416925.721292589,25,5,7.15227139512065,3.1185116155324,2.7811241088235,6357.28312334742,4903.57543900902,338.229438456952,614.060848908569,230.005956380549,1062.27277470009,957.534474294082,1623.90452899047,482.552447634876
"52",31544.9575322921,27402.0509452827,27909.1446968296,31258.0770300984,31851.9918699327,27188.612207179,32801.348191794,34845.7911946663,33523.1949179989,31627.5267680547,30059.5362740521,27674.1317942827,27907.7670228308,31302.4242984599,29505.5696993614,28756.6427849098,32396.2682321863,30899.0036310138,31909.2703986161,31840.4671996121,31536.6249651204,32531.827630181,30358.1033186121,28991.5508402564,30642.7873750844,452356.625355529,25,5,6.78308048941069,3.31770056896012,3.31103969885681,6539.55919690575,4264.6757035154,803.09545330027,813.180317170964,204.859012737544,493.248547524629,936.68929148265,1583.47305687418,469.621094435148
"53",16905.3508720145,16727.2749063157,18216.2751416839,17061.3209725277,17657.2599227665,15854.3605776921,18076.9859116789,16987.631926258,18240.6257501896,17717.8278041607,17733.5573281525,18185.005023071,17589.9698301398,19413.9434068585,18677.0408514283,18663.1013484561,18065.9610037357,18204.6044688341,17400.6563472365,16662.9108808934,17810.9378330685,16797.9857987503,17267.872948887,18344.777334963,17900.3831204737,260606.623333221,25,5,6.17808270475205,1.84568190555277,2.78179004053369,6649.75106676138,3539.70484421121,289.765602866088,234.241557519878,160.72095937908,428.000755286886,885.559225473573,1530.3951412513,833.123706764719
"54",20469.0244384738,19020.5036016945,23422.8553838876,24691.6183303216,20345.4117219126,20872.4729126634,22282.1745263469,21770.0310523217,20127.3712035683,22361.9245474031,24406.313120329,19712.2902882006,16944.4158804966,26510.5794957793,19863.516668787,20578.7402832608,20685.2432304461,18083.4590902208,21528.1545669052,23801.5005956703,22338.8416300197,21388.2575573753,19621.8161518485,21226.1950657301,22338.8816609539,316693.455089684,25,5,7.9425629393315,2.2432506641862,3.23417188230923,6563.67674268313,3877.55791108841,979.272647157303,527.440710326345,214.670140175464,880.851306345878,865.67022007286,1421.01602147592,930.127934710669
